                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220414"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              surface_he3                              surface_n14                             surface_ne20                             surface_mg24                                       pp                                      cno                                 tri_alfa                                 delta_nu                                   nu_max                        v_div_csound_surf                              num_retries 
                                       1                  1.0000000000000001E-005                  2.2000000000000002E+000                 -4.9999999999999991E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1286                  0.0000000000000000E+000                  9.9999999617789836E-001                  2.6881822175734534E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999617789836E-001                  2.6881822175734534E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6773513260162476E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6773513260162476E+000                  3.7086827186026952E+000                  1.9272184247665429E+001                  1.2849309389912158E+000                  7.4775319315471467E-001                  3.2849839218159098E+000                  1.9274535548660579E+003                  6.4825097461877448E+000                 -9.5103824483572030E-001                  1.3659928191003869E+001                  4.2461921755689004E-002                  6.1957152436483798E-001                  8.5150496627254202E-001                  1.2919240074901404E+000                  7.0299999999999996E-001                  2.7997020236474890E-001                  2.9298508566682319E-003                  7.9734484983771097E-003                  7.0299999999999996E-001                  2.7997020236474895E-001                  2.9298508566682328E-003                  7.9734484983771080E-003                  1.5466000000000009E+000                  6.1593444520244767E-001                  2.9797635251138652E-005                  8.5879132979356575E-004                  1.7722707602937807E-003                  3.4656385548673249E-003                 -6.6773513260163053E+000                 -1.9556848753619622E+001                 -9.8999999999999986E+001                  1.5375859766771397E+001                  2.3162626960485093E+002                 -3.2669849646629961E-001                                        0 
                                       5                  3.1000000000000000E-004                  2.2000000000000002E+000                 -3.7958800173440750E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1278                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.7154521408090517E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.7154521408090517E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6773513238813713E+000                 -9.8999999999999986E+001                 -2.2577249674798587E+001                 -6.6773513238813713E+000                  3.7079433978477554E+000                  1.9141311872659724E+001                  1.2819716993516270E+000                  7.4775221484479915E-001                  3.2849858784357409E+000                  1.9274622386106166E+003                  6.4825097478195870E+000                 -9.5103824569586781E-001                  1.3659928191812083E+001                  4.2461921568107311E-002                  6.1957152436360718E-001                  8.5150496627254180E-001                  1.2919240074901406E+000                  7.0299999999999996E-001                  2.7997020236474890E-001                  2.9298508566682319E-003                  7.9734484983771097E-003                  7.0300000000000018E-001                  2.7997020236474884E-001                  2.9298508566682328E-003                  7.9734484983771028E-003                  1.5466000000000006E+000                  6.1593444520244767E-001                  2.9797635251138611E-005                  8.5879132979356520E-004                  1.7722707602937815E-003                  3.4656385548673275E-003                 -6.6773513238814282E+000                 -1.9556848746706400E+001                 -9.8999999999999986E+001                  1.5375820081746879E+001                  2.3182455233640118E+002                 -2.4462525190048175E-004                                        0 
                                      10                  1.0230000000000001E-002                  2.2000000000000002E+000                 -2.2907300390241692E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1278                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.6886789724172570E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.6886789724172570E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6773512526088972E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6773512526088972E+000                  3.7077489005830442E+000                  1.9106758650560128E+001                  1.2811870177942624E+000                  7.4774886859553957E-001                  3.2849925709342602E+000                  1.9274919411237893E+003                  6.4825097557499776E+000                 -9.5103822675144656E-001                  1.3659928218721046E+001                  4.2461921410148200E-002                  6.1957152435971807E-001                  8.5150496627254180E-001                  1.2919240074901406E+000                  7.0299999999999996E-001                  2.7997020236474890E-001                  2.9298508566682319E-003                  7.9734484983771097E-003                  7.0300000000000018E-001                  2.7997020236474890E-001                  2.9298508566682332E-003                  7.9734484983771028E-003                  1.5466000000000006E+000                  6.1593444520244767E-001                  2.9797635251138611E-005                  8.5879132979356520E-004                  1.7722707602937815E-003                  3.4656385548673279E-003                 -6.6773512526089540E+000                 -1.9556848515741983E+001                 -9.8999999999999986E+001                  1.5376462805700481E+001                  2.3188004231121997E+002                 -1.8271847274078017E-006                                        0 
                                      15                  3.2767000000000002E-001                  2.2000000000000002E+000                 -7.8558006070426323E-001                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1278                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.6877495647235752E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.6877495647235752E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6773489206612888E+000                 -9.8999999999999986E+001                 -2.1878279670462568E+001                 -6.6773489206612879E+000                  3.7077464748692437E+000                  1.9106286416110137E+001                  1.2811762838255116E+000                  7.4774835303876463E-001                  3.2849936020478099E+000                  1.9274965174320312E+003                  6.4825099717305399E+000                 -9.5103756589334443E-001                  1.3659929095591689E+001                  4.2461921831103401E-002                  6.1957152426690631E-001                  8.5150496627254180E-001                  1.2919240074901406E+000                  7.0299999999999996E-001                  2.7997020236474890E-001                  2.9298508566682319E-003                  7.9734484983771097E-003                  7.0300000000000018E-001                  2.7997020236474884E-001                  2.9298508566682328E-003                  7.9734484983771010E-003                  1.5466000000000009E+000                  6.1593444520244756E-001                  2.9797635251138611E-005                  8.5879132979356520E-004                  1.7722707602937818E-003                  3.4656385548673279E-003                 -6.6773489206613457E+000                 -1.9556840927184329E+001                 -9.8999999999999986E+001                  1.5376501245474367E+001                  2.3188124042293637E+002                 -3.1235682786378361E-008                                        0 
                                      20                  1.0485750000000001E+001                  2.2000000000000002E+000                  7.1956991761564271E-001                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1278                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.6806593348959150E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.6806593348959150E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6772739762419189E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6772739762419189E+000                  3.7077469709502280E+000                  1.9105736384159549E+001                  1.2811637811719738E+000                  7.4774110955002759E-001                  3.2850080890252840E+000                  1.9275608149663744E+003                  6.4825169779192411E+000                 -9.5101609317718760E-001                  1.3659957575315996E+001                  4.2461936632187669E-002                  6.1957152125939652E-001                  8.5150496627254169E-001                  1.2919240074901410E+000                  7.0299999999999963E-001                  2.7997020236474890E-001                  2.9298508566682319E-003                  7.9734484983771097E-003                  7.0300000000000029E-001                  2.7997020236474890E-001                  2.9298508566682336E-003                  7.9734484983771045E-003                  1.5466000000000009E+000                  6.1593444520244767E-001                  2.9797635251154132E-005                  8.5879132979356531E-004                  1.7722707602937818E-003                  3.4656385548673284E-003                 -6.6772739762419757E+000                 -1.9556594338862777E+001                 -9.8999999999999986E+001                  1.5376887958122063E+001                  2.3188884309032889E+002                 -2.7573534183451646E-008                                        0 
                                      25                  3.3554431000000000E+002                  2.2000000000000002E+000                  2.2247198959355483E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1278                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.5563894294631479E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.5563894294631479E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6748788710111597E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6748788710111597E+000                  3.7077630962251789E+000                  1.9088243247875916E+001                  1.2807659607215480E+000                  7.4750994877491328E-001                  3.2854704105755128E+000                  1.9296138629355448E+003                  6.4827412120592109E+000                 -9.5032931058977244E-001                  1.3660868621097272E+001                  4.2462395517756830E-002                  6.1957142499165674E-001                  8.5150496627253747E-001                  1.2919240074901548E+000                  7.0299999999998730E-001                  2.7997020236474890E-001                  2.9298508566682319E-003                  7.9734484983771097E-003                  7.0299999999999974E-001                  2.7997020236474890E-001                  2.9298508566682332E-003                  7.9734484983771045E-003                  1.5465999999999989E+000                  6.1593444520244767E-001                  2.9797635251714949E-005                  8.5879132979356531E-004                  1.7722707602937820E-003                  3.4656385548673284E-003                 -6.6748788710112175E+000                 -1.9548717524079297E+001                 -9.8999999999999986E+001                  1.5389233424780164E+001                  2.3213151871091929E+002                 -2.7516539944676155E-008                                        0 
                                      30                  1.0737418230000001E+004                  2.2000000000000002E+000                  3.7298698742554546E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1278                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.3006728444428592E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999796793704E-001                  2.3006728444428592E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6006201688220489E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6006201688220489E+000                  3.7082624595664098E+000                  1.8551936074366417E+001                  1.2683892391552785E+000                  7.4032286130931657E-001                  3.2998445855067060E+000                  1.9945484279242987E+003                  6.4896917459572858E+000                 -9.2888644396139752E-001                  1.3689261972445422E+001                  4.2481669861354085E-002                  6.1956848103033735E-001                  8.5150496627238992E-001                  1.2919240074906475E+000                  7.0299999999954454E-001                  2.7997020236474890E-001                  2.9298508566682319E-003                  7.9734484983771097E-003                  7.0299999999997853E-001                  2.7997020236474890E-001                  2.9298508566682332E-003                  7.9734484983771028E-003                  1.5465999999999274E+000                  6.1593444520244767E-001                  2.9797635272431207E-005                  8.5879132979356520E-004                  1.7722707602937818E-003                  3.4656385548673279E-003                 -6.6006201688221342E+000                 -1.9306122081025304E+001                 -9.8999999999999986E+001                  1.5778011254750869E+001                  2.3980520541287567E+002                 -2.5943431703490613E-008                                        0 
                                      35                  1.4053960204445757E+005                  2.2000000000000002E+000                  4.5928843503584984E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1291                  0.0000000000000000E+000                  9.9999999864860101E-001                  8.0370984695322500E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999864860101E-001                  8.0370984695322500E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9132298042394416E+000                 -9.8999999999999986E+001                 -2.1373129692142662E+001                 -5.9132298042394416E+000                  3.7128106622768340E+000                  1.4135384353330169E+001                  1.1503076218287918E+000                  6.7218564722522589E-001                  3.4361190136748876E+000                  2.7297257319398145E+003                  6.5511104956583992E+000                 -7.1595165793655158E-001                  1.3963476336959680E+001                  4.3427126310964008E-002                  6.1954537294498890E-001                  8.5150496626687300E-001                  1.2919240075090650E+000                  7.0299999998299267E-001                  2.7997020236474890E-001                  2.9298508566682319E-003                  7.9734484983771097E-003                  7.0299999999932938E-001                  2.7997020236474884E-001                  2.9298508566682328E-003                  7.9734484983771045E-003                  1.5465999999970645E+000                  6.1593444520244756E-001                  2.9797635921576847E-005                  8.5879132979356499E-004                  1.7722707602937815E-003                  3.4656385548673279E-003                 -5.9132298042419293E+000                 -1.7155311825767676E+001                 -9.8999999999999986E+001                  1.9983457369674362E+001                  3.2648176741924198E+002                 -1.4439611556086279E-008                                        0 
                                      40                  4.2813959239300987E+005                  2.2000000000000002E+000                  4.8564393128650352E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1305                  0.0000000000000000E+000                  9.9999999930265404E-001                  2.5416275623744122E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999930265404E-001                  2.5416275623744122E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0557088888185309E+000                 -8.3441015968217400E+001                 -9.8999999999999986E+001                 -5.0557088888185309E+000                  3.7185710047895322E+000                  9.9672438354816570E+000                  9.9857508283291485E-001                  5.8479869270189122E-001                  3.6108929227215567E+000                  4.0821872574179556E+003                  6.6245357169800085E+000                 -4.0477168269648561E-001                  1.4347632934901000E+001                  4.6565313271532363E-002                  6.1952256267314276E-001                  8.5150496619848948E-001                  1.2919240077373371E+000                  7.0299999977784322E-001                  2.7997020236474884E-001                  2.9298508566682306E-003                  7.9734484983771080E-003                  7.0299999999602958E-001                  2.7997020236474895E-001                  2.9298508566682315E-003                  7.9734484983771062E-003                  1.5465999999557161E+000                  6.1593444520244767E-001                  2.9797639221278312E-005                  8.5879132979356499E-004                  1.7722707602937813E-003                  3.4656385548673279E-003                 -5.0557088889297779E+000                 -1.4647207435355224E+001                 -8.3441015968217400E+001                  2.7050692845628639E+001                  4.8501220853532237E+002                 -6.2671228246553468E-009                                        0 
