                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220414"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              surface_he3                              surface_n14                             surface_ne20                             surface_mg24                                       pp                                      cno                                 tri_alfa                                 delta_nu                                   nu_max                        v_div_csound_surf                              num_retries 
                                       1                  1.0000000000000001E-005                  2.2000000000000002E+000                 -4.9999999999999991E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1255                  0.0000000000000000E+000                  9.9999999405387463E-001                  3.4340210620099045E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999405387463E-001                  3.4340210620099045E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1601765142740872E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1601765142740872E+000                  3.6995908742579675E+000                  2.1774380805144350E+001                  1.3379458138871627E+000                  7.9244431929214354E-001                  3.1956016695410523E+000                  1.5689231439452794E+003                  6.4354355268154428E+000                 -1.0840969699095884E+000                  1.3482078166046337E+001                  4.2180407183547874E-002                  6.1625022101463967E-001                  8.5450496627254191E-001                  1.2825883454166069E+000                  7.0899999999999996E-001                  2.7997020236474890E-001                  1.8957858484323856E-003                  5.1592902048322471E-003                  7.0900000000000007E-001                  2.7997020236474890E-001                  1.8957858484323856E-003                  5.1592902048322488E-003                  1.5597999999999996E+000                  6.1593444520244756E-001                  2.9797635251138631E-005                  5.5568850751348397E-004                  1.1467634331312688E-003                  2.2424720060906225E-003                 -7.1601765142740899E+000                 -2.1370540364496510E+001                 -9.8999999999999986E+001                  1.3203839550317774E+001                  1.9052478609666414E+002                 -4.1447108175595099E-001                                        0 
                                       5                  3.1000000000000000E-004                  2.2000000000000002E+000                 -3.7958800173440750E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1245                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.4535153870474615E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.4535153870474615E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1601765114943694E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1601765114943703E+000                  3.6987225689489640E+000                  2.1600954540679780E+001                  1.3344729429375224E+000                  7.9244449443532994E-001                  3.1956013192546795E+000                  1.5689218785085798E+003                  6.4354355270605446E+000                 -1.0840969691333573E+000                  1.3482078167067524E+001                  4.2180407184872967E-002                  6.1625022101456184E-001                  8.5450496627254191E-001                  1.2825883454166069E+000                  7.0899999999999996E-001                  2.7997020236474890E-001                  1.8957858484323856E-003                  5.1592902048322471E-003                  7.0899999999999996E-001                  2.7997020236474890E-001                  1.8957858484323867E-003                  5.1592902048322462E-003                  1.5597999999999996E+000                  6.1593444520244756E-001                  2.9797635251138631E-005                  5.5568850751348375E-004                  1.1467634331312696E-003                  2.2424720060906247E-003                 -7.1601765114943721E+000                 -2.1370540355474052E+001                 -9.8999999999999986E+001                  1.3203457347962477E+001                  1.9071519007095762E+002                 -2.6096501942557480E-004                                        0 
                                      10                  1.0230000000000001E-002                  2.2000000000000002E+000                 -2.2907300390241692E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1245                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.4349834205071664E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.4349834205071664E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1601764204887210E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1601764204887210E+000                  3.6984675875601924E+000                  2.1549783385681938E+001                  1.3334429090732773E+000                  7.9243944028075020E-001                  3.1956114275638390E+000                  1.5689583959699339E+003                  6.4354355350719139E+000                 -1.0840969436101389E+000                  1.3482078200596398E+001                  4.2180407233082404E-002                  6.1625022101202653E-001                  8.5450496627254191E-001                  1.2825883454166069E+000                  7.0899999999999996E-001                  2.7997020236474890E-001                  1.8957858484323856E-003                  5.1592902048322471E-003                  7.0899999999999996E-001                  2.7997020236474890E-001                  1.8957858484323867E-003                  5.1592902048322462E-003                  1.5597999999999996E+000                  6.1593444520244756E-001                  2.9797635251138631E-005                  5.5568850751348375E-004                  1.1467634331312696E-003                  2.2424720060906247E-003                 -7.1601764204887237E+000                 -2.1370540060218477E+001                 -9.8999999999999986E+001                  1.3204261217285710E+001                  1.9077562458913263E+002                 -4.0211401924530699E-006                                        0 
                                      15                  3.2767000000000002E-001                  2.2000000000000002E+000                 -7.8558006070426323E-001                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1245                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.4332189854470965E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.4332189854470965E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1601734355613571E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1601734355613571E+000                  3.6984619762632032E+000                  2.1548583540075072E+001                  1.3334187278170719E+000                  7.9243857224662717E-001                  3.1956131636320850E+000                  1.5689646678071513E+003                  6.4354357994018700E+000                 -1.0840961146631063E+000                  1.3482079293764935E+001                  4.2180408397183240E-002                  6.1625022092745574E-001                  8.5450496627254191E-001                  1.2825883454166069E+000                  7.0899999999999996E-001                  2.7997020236474890E-001                  1.8957858484323856E-003                  5.1592902048322471E-003                  7.0899999999999996E-001                  2.7997020236474890E-001                  1.8957858484323867E-003                  5.1592902048322462E-003                  1.5597999999999996E+000                  6.1593444520244756E-001                  2.9797635251138631E-005                  5.5568850751348375E-004                  1.1467634331312696E-003                  2.2424720060906247E-003                 -7.1601734355613598E+000                 -2.1370530341258739E+001                 -9.8999999999999986E+001                  1.3204322432556555E+001                  1.9077761967176571E+002                 -4.6717381656856964E-008                                        0 
                                      20                  1.0485750000000001E+001                  2.2000000000000002E+000                  7.1956991761564271E-001                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1245                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.4069755498229826E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.4069755498229826E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1600772932089631E+000                 -9.8999999999999986E+001                 -2.2577249674798587E+001                 -7.1600772932089631E+000                  3.6984626471875854E+000                  2.1547817509372543E+001                  1.3334032888059708E+000                  7.9242951089231162E-001                  3.1956312863407157E+000                  1.5690301406233623E+003                  6.4354444884925872E+000                 -1.0840692354754409E+000                  1.3482114860730380E+001                  4.2180434682679992E-002                  6.1625021812155423E-001                  8.5450496627254158E-001                  1.2825883454166069E+000                  7.0899999999999974E-001                  2.7997020236474884E-001                  1.8957858484323850E-003                  5.1592902048322462E-003                  7.0899999999999996E-001                  2.7997020236474890E-001                  1.8957858484323867E-003                  5.1592902048322462E-003                  1.5597999999999996E+000                  6.1593444520244756E-001                  2.9797635251142528E-005                  5.5568850751348375E-004                  1.1467634331312696E-003                  2.2424720060906247E-003                 -7.1600772932089658E+000                 -2.1370213086365712E+001                 -9.8999999999999986E+001                  1.3204737185827870E+001                  1.9078543344368765E+002                 -3.8518352128602710E-008                                        0 
                                      25                  3.3554431000000000E+002                  2.2000000000000002E+000                  2.2247198959355483E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1245                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.2973255028506517E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999694449981E-001                  3.2973255028506517E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1570053497274060E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1570053497274060E+000                  3.6984846860947544E+000                  2.1523553948480131E+001                  1.3329139832015793E+000                  7.9214078027577739E-001                  3.1962087475737846E+000                  1.5711177948617242E+003                  6.4357224803911777E+000                 -1.0832095390496355E+000                  1.3483252508615680E+001                  4.2181267391304775E-002                  6.1625012837027093E-001                  8.5450496627254025E-001                  1.2825883454166118E+000                  7.0899999999999552E-001                  2.7997020236474884E-001                  1.8957858484323850E-003                  5.1592902048322462E-003                  7.0899999999999974E-001                  2.7997020236474890E-001                  1.8957858484323867E-003                  5.1592902048322462E-003                  1.5597999999999990E+000                  6.1593444520244744E-001                  2.9797635251287364E-005                  5.5568850751348321E-004                  1.1467634331312696E-003                  2.2424720060906238E-003                 -7.1570053497274086E+000                 -2.1360076073604745E+001                 -9.8999999999999986E+001                  1.3217958126874017E+001                  1.9103443349229713E+002                 -3.8419845722730031E-008                                        0 
                                      30                  1.0737418230000001E+004                  2.2000000000000002E+000                  3.7298698742554546E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1247                  0.0000000000000000E+000                  9.9999999710074983E-001                  2.9953014052274289E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999710074983E-001                  2.9953014052274289E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.0624662735232357E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.0624662735232357E+000                  3.6991656709906033E+000                  2.0787529864351104E+001                  1.3178028861560698E+000                  7.8322326196132519E-001                  3.2140437842026888E+000                  1.6369815484361013E+003                  6.4442868151747890E+000                 -1.0565283799438252E+000                  1.3518495580972202E+001                  4.2213271351844599E-002                  6.1624741262684568E-001                  8.5450496627248818E-001                  1.2825883454167828E+000                  7.0899999999983976E-001                  2.7997020236474884E-001                  1.8957858484323850E-003                  5.1592902048322462E-003                  7.0899999999999386E-001                  2.7997020236474890E-001                  1.8957858484323869E-003                  5.1592902048322453E-003                  1.5597999999999763E+000                  6.1593444520244733E-001                  2.9797635256963978E-005                  5.5568850751348310E-004                  1.1467634331312694E-003                  2.2424720060906238E-003                 -7.0624662735232402E+000                 -2.1050279382744353E+001                 -9.8999999999999986E+001                  1.3632835371994785E+001                  1.9888690935838144E+002                 -3.5727616567134216E-008                                        0 
                                      35                  1.2308396905483732E+005                  2.2000000000000002E+000                  4.5126962733984595E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1265                  0.0000000000000000E+000                  9.9999999803824990E-001                  9.5717400439538525E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999803824990E-001                  9.5717400439538525E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.3188942119221680E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.3188942119221680E+000                  3.7044752664926328E+000                  1.5669146409212209E+001                  1.1950453385320150E+000                  7.1122529714523852E-001                  3.3580397138348621E+000                  2.2805506062393620E+003                  6.5091155675752885E+000                 -8.3057536931732623E-001                  1.3809119831622521E+001                  4.3245201723037231E-002                  6.1623030634996145E-001                  8.5450496627062533E-001                  1.2825883454229123E+000                  7.0899999999425056E-001                  2.7997020236474884E-001                  1.8957858484323850E-003                  5.1592902048322462E-003                  7.0899999999981911E-001                  2.7997020236474890E-001                  1.8957858484323874E-003                  5.1592902048322471E-003                  1.5597999999990324E+000                  6.1593444520244744E-001                  2.9797635431861429E-005                  5.5568850751348332E-004                  1.1467634331312696E-003                  2.2424720060906234E-003                 -6.3188942119223412E+000                 -1.8718361809009341E+001                 -9.8999999999999986E+001                  1.7492732736059960E+001                  2.7538947042117422E+002                 -1.9244397813766388E-008                                        0 
                                      40                  3.5997760273322853E+005                  2.2000000000000002E+000                  4.7711505057362933E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1284                  0.0000000000000000E+000                  9.9999999905387515E-001                  2.7193908939949651E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905387515E-001                  2.7193908939949651E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4414715512668534E+000                 -9.8999999999999986E+001                 -2.0896008437422999E+001                 -5.4414715512668534E+000                  3.7109333795935076E+000                  1.1126625602236976E+001                  1.0463634747995876E+000                  6.2396813907727500E-001                  3.5325540299707892E+000                  3.4084272593094224E+003                  6.5831972415093567E+000                 -5.1845689097662728E-001                  1.4194877237578096E+001                  4.6333568109107527E-002                  6.1621504313503994E-001                  8.5450496624702399E-001                  1.2825883455005620E+000                  7.0899999992344664E-001                  2.7997020236474884E-001                  1.8957858484323850E-003                  5.1592902048322462E-003                  7.0899999999891927E-001                  2.7997020236474895E-001                  1.8957858484323824E-003                  5.1592902048322453E-003                  1.5597999999851744E+000                  6.1593444520244733E-001                  2.9797636331601624E-005                  5.5568850751348332E-004                  1.1467634331312694E-003                  2.2424720060906234E-003                 -5.4414715512757921E+000                 -1.6128001531932593E+001                 -9.8999999999999986E+001                  2.3661778016734651E+001                  4.0853812417126829E+002                 -8.3834559222947636E-009                                        0 
