PROFID,fdnustdlit,dnu_model,dnu_inf,nu_max,mass,radius,luminosity,mixing_length,metalicity
profile222,1.0173273389517548,12.884674080244048,13.107931195315325,151.13202972799138,1.9884098706980504e+33,4.731799021567345,3.73341745510789e+34,1.7,0.0    d0
profile155,0.9886060265338944,103.92063111424582,102.73656220074916,2096.973382524537,1.9884098706980504e+33,1.1992204875135493,6.025552031378196e+33,1.7,0.0    d0
profile232,1.037552903802658,3.609340649699616,3.7448818719088086,29.39246688612358,1.9884098706980504e+33,10.908297575927758,1.5234940361950202e+35,1.7,0.0    d0
profile156,0.988493244746628,103.36059619862067,102.17125111532053,2081.7491300115244,1.9884098706980504e+33,1.2036399238115698,6.066628732592885e+33,1.7,0.0    d0
profile180,0.9845399452128322,87.63590755450579,86.28105162238995,1669.178528068488,1.9884098706980504e+33,1.3472207781154169,7.330972798019642e+33,1.7,0.0    d0
profile125,0.9909211747624863,118.04888519694964,116.97713999876322,2489.9910458998083,1.9884098706980504e+33,1.0998034039376625,5.120750542157025e+33,1.7,0.0    d0
profile105,0.9915928717375363,126.14800771530098,125.08746523438418,2725.231988486117,1.9884098706980504e+33,1.0517354940627441,4.649513154686534e+33,1.7,0.0    d0
profile111,0.9913119162473423,123.80393921981519,122.72832022696448,2655.8522126896505,1.9884098706980504e+33,1.0651706683979194,4.7843915608395957e+33,1.7,0.0    d0
profile173,0.986006551697974,92.75834588101516,91.46033676334773,1800.291902974565,1.9884098706980504e+33,1.2958672912867037,6.898202149794885e+33,1.7,0.0    d0
profile241,1.0383780888801364,1.453260468111162,1.5090338275223207,9.02046896457935,1.9884098706980504e+33,19.99476980726265,4.005567750945246e+35,1.7,0.0    d0
profile1,1.0358523342339871,47.618075458322515,49.32529461523352,903.1049083934829,1.9884098706980504e+33,1.9558517526064512,5.404033648388268e+33,1.7,0.0    d0
profile212,0.9871905174853787,46.844842030535204,46.24478384564487,784.834484957374,1.9884098706980504e+33,2.0417719020003706,9.099153591129261e+33,1.7,0.0    d0
profile132,0.9904989053155626,115.07895410132365,113.98557806222095,2405.667045724737,1.9884098706980504e+33,1.1189631594926885,5.296897262682496e+33,1.7,0.0    d0
profile124,0.9909780334588102,118.46731382427261,117.39850568272539,2501.979378761218,1.9884098706980504e+33,1.0971702240643495,5.0958982568874635e+33,1.7,0.0    d0
profile118,0.9909651681181847,120.98755235880256,119.89445016344845,2573.527668009327,1.9884098706980504e+33,1.081889747582294,4.949187737444301e+33,1.7,0.0    d0
profile238,1.0399750845755358,1.8470744561808536,1.920911413783995,12.339256240184762,1.9884098706980504e+33,17.023316255704803,3.1073954629682625e+35,1.7,0.0    d0
profile115,0.9911164330002822,122.20529376904766,121.11967485413012,2608.982051808396,1.9884098706980504e+33,1.0745812570822646,4.8776243029158414e+33,1.7,0.0    d0
profile127,0.9908033797152053,117.2073386648533,116.1294272765613,2465.957712862004,1.9884098706980504e+33,1.1051490873253584,5.170702671400968e+33,1.7,0.0    d0
profile108,0.9914542874520268,124.98434743810276,123.91626713190072,2690.6923093675873,1.9884098706980504e+33,1.0583521036262185,4.716197168608916e+33,1.7,0.0    d0
profile243,1.0379971288442613,1.2453907340781707,1.2927120062623882,7.378658777813485,1.9884098706980504e+33,22.167388732372707,4.715239945373797e+35,1.7,0.0    d0
profile128,0.9907442733606805,116.78465041426443,115.70372361436151,2453.9293643416445,1.9884098706980504e+33,1.107858178992863,5.195793939527403e+33,1.7,0.0    d0
profile250,1.0261340724012245,0.8015410528234851,0.8224885847305278,4.106382590010581,1.9884098706980504e+33,29.966025132370312,7.530841444886656e+35,1.7,0.0    d0
profile151,0.9890270818777792,106.10002496649783,104.93579807977487,2156.5200786427004,1.9884098706980504e+33,1.1824059657615382,5.869027106757354e+33,1.7,0.0    d0
profile52,0.9392512425520065,0.1405826625872461,0.1320424405163404,0.38923925216692096,1.9884098706980504e+33,101.4471919630714,4.4487015860964765e+36,1.7,0.0    d0
profile126,0.9908617440371054,117.62904852573492,116.554124171635,2477.985836540775,1.9884098706980504e+33,1.1024628452715024,5.145655535349016e+33,1.7,0.0    d0
profile157,0.9883770587469239,102.79403222804335,101.59926323028999,2066.380015026323,1.9884098706980504e+33,1.2081532312880785,6.108532873051071e+33,1.7,0.0    d0
profile217,1.001220187400552,29.64236497967641,29.678534219947178,442.9098601842998,1.9884098706980504e+33,2.7442315952039027,1.409007492994197e+34,1.7,0.0    d0
profile247,1.036795041461679,0.9508825469529254,0.9858703096932451,5.192782252244973,1.9884098706980504e+33,26.55639993257687,6.2482304033663475e+35,1.7,0.0    d0
profile56,0.9369250423870568,0.13067531243407193,0.12243297264123473,0.35338360717675815,1.9884098706980504e+33,106.68830025276301,4.7612435234188873e+36,1.7,0.0    d0
profile2,1.022639756675052,0.4682341933884189,0.478834901593672,2.0396865912936826,1.9884098706980504e+33,42.979219734821605,1.303766545064913e+36,1.7,0.0    d0
profile91,0.9128303854314913,0.08352447864760498,0.07624368203685762,0.19303206773885406,1.9884098706980504e+33,146.30072708458755,7.22503990830044e+36,1.7,0.0    d0
profile62,0.9932976943489413,140.8388275736906,139.89488270375497,3178.108171678154,1.9884098706980504e+33,0.9761453875785709,3.86166187446223e+33,1.7,0.0    d0
profile192,0.9812793467945559,77.23563813600283,75.78973653935755,1414.2390279401288,1.9884098706980504e+33,1.4688432796500406,8.231666046096298e+33,1.7,0.0    d0
profile233,1.0386711603059642,3.1619732358649233,3.2842504097522243,24.7771679084271,1.9884098706980504e+33,11.905789972568336,1.7550859364988632e+35,1.7,0.0    d0
