ID,dnu_syd,dnu_inf,nu_max,mass,radius,luminosity,mixing_length,metalicity
199,69.6462030970134,68.14968898675997,1238.6851146962874,1.9884098706980504e+33,1.5766663787260529,8.816213364689329e+33,1.7,0.0    d0
166,97.37895193077615,96.14657174599044,1921.761734839666,1.9884098706980504e+33,1.2534100998922093,6.522675058246273e+33,1.7,0.0    d0
247,0.9111620492011008,0.9858703096932452,5.192782252244973,1.9884098706980504e+33,26.55639993257687,6.248230403366348e+35,1.7,0.0    d0
137,112.96022085947271,111.79118590917687,2344.6418281920187,1.9884098706980504e+33,1.1335587056737788,5.426232955234641e+33,1.7,0.0    d0
50,0.1114084601643267,0.1373479420191595,0.4093618843133235,1.9884098706980504e+33,98.81759680554208,4.29326287748191e+36,1.7,0.0    d0
236,2.196338214668156,2.331130209122414,15.8666675927506,1.9884098706980504e+33,14.96251862034575,2.5314834620660653e+35,1.7,0.0    d0
258,0.4655282085437938,0.5448234648818798,2.4100130625918097,1.9884098706980504e+33,39.4346983353327,1.1451760121734589e+36,1.7,0.0    d0
24,0.187007058132977,0.2440679331032868,0.8557577614475901,1.9884098706980504e+33,67.35583793036088,2.5192226699857784e+36,1.7,0.0    d0
230,4.917887741539566,5.047820000479342,43.36526882802357,1.9884098706980504e+33,8.939498423445919,1.1010480242442734e+35,1.7,0.0    d0
109,123.95384855354538,123.52198603558932,2679.107903792182,1.9884098706980504e+33,1.0606030742629065,4.7387603711363485e+33,1.7,0.0    d0
148,107.11923444800016,106.51721689755604,2199.6317259043267,1.9884098706980504e+33,1.1706736731576006,5.760033519035033e+33,1.7,0.0    d0
56,0.0994718394324345,0.1224329726412347,0.3533836071767581,1.9884098706980504e+33,106.688300252763,4.7612435234188873e+36,1.7,0.0    d0
111,123.20979919459076,122.72832022696448,2655.8522126896505,1.9884098706980504e+33,1.0651706683979194,4.784391560839596e+33,1.7,0.0    d0
206,59.3051106696175,58.05022912987636,1023.5523376161368,1.9884098706980504e+33,1.7546066323683018,9.076733130589492e+33,1.7,0.0    d0
23,0.1909859317102744,0.2500758591874581,0.8829446099118949,1.9884098706980504e+33,66.27268189233584,2.461361580317353e+36,1.7,0.0    d0
178,88.93578219975112,87.81857196603974,1707.751349930347,1.9884098706980504e+33,1.331449845824792,7.200825277443847e+33,1.7,0.0    d0
240,1.5517606951459797,1.6364428109991382,10.021154740153465,1.9884098706980504e+33,18.94298885701353,3.678794565769143e+35,1.7,0.0    d0
118,120.55589051853342,119.89445016344844,2573.527668009327,1.9884098706980504e+33,1.081889747582294,4.949187737444301e+33,1.7,0.0    d0
28,0.1710915638237874,0.2192448215450114,0.7455824936931987,1.9884098706980504e+33,72.3484941050538,2.788355702900664e+36,1.7,0.0    d0
162,99.73046621495892,98.64145828974412,1987.502603975155,1.9884098706980504e+33,1.2321854307058022,6.329947575403031e+33,1.7,0.0    d0
61,0.0915140922778398,0.1127376157839822,0.318006593104024,1.9884098706980504e+33,112.72056618433366,5.12617562502612e+36,1.7,0.0    d0
210,52.64447630122168,51.85156164656544,899.8537648113559,1.9884098706980504e+33,1.8917968511982295,8.865602511578361e+33,1.7,0.0    d0
260,0.4297183463481174,0.5007539554333248,2.1610999239846773,1.9884098706980504e+33,41.71569337045098,1.2466238162470308e+36,1.7,0.0    d0
121,119.39405943396258,118.65403469962727,2537.856342562605,1.9884098706980504e+33,1.0894167587182058,5.021965572858672e+33,1.7,0.0    d0
215,36.31120026641592,36.31044445025775,576.7431379758293,1.9884098706980504e+33,2.3989876687155647,1.119631294409394e+34,1.7,0.0    d0
186,82.85606337364071,81.34173985360215,1547.309205529805,1.9884098706980504e+33,1.4012213755976832,7.755598306598577e+33,1.7,0.0    d0
193,75.99250645280273,74.78780492489945,1390.6949744886117,1.9884098706980504e+33,1.4819328817923427,8.315189883368571e+33,1.7,0.0    d0
134,114.2095871627441,113.11596064738384,2381.407503016697,1.9884098706980504e+33,1.1246907761477911,5.348021285164984e+33,1.7,0.0    d0
256,0.5092958178940651,0.5976631358344424,2.7164202034477114,1.9884098706980504e+33,37.07473704057573,1.0429368413141578e+36,1.7,0.0    d0
91,0.0557042300821633,0.0762436820368576,0.193032067738854,1.9884098706980504e+33,146.30072708458755,7.22503990830044e+36,1.7,0.0    d0
51,0.1114084601643267,0.1344091841654792,0.3981891874778472,1.9884098706980504e+33,100.25278101851144,4.37785153007684e+36,1.7,0.0    d0
225,6.9988386224660974,7.1995627955092845,68.98203361787168,1.9884098706980504e+33,7.0552375787719255,7.383729687082976e+34,1.7,0.0    d0
241,1.336901521971921,1.5090338275223207,9.02046896457935,1.9884098706980504e+33,19.99476980726265,4.005567750945246e+35,1.7,0.0    d0
115,121.70180610879508,121.11967485413012,2608.982051808396,1.9884098706980504e+33,1.0745812570822646,4.8776243029158414e+33,1.7,0.0    d0
